From	To	Species	Gene Name
Q9VSK9	FBgn0035901	Drosophila melanogaster	CG6745 gene product from transcript CG6745-RA(CG6745)
B7YZS2	FBgn0027360	Drosophila melanogaster	Translocase of inner membrane 10(Tim10)
Q9VFM9	FBgn0038206	Drosophila melanogaster	twinfilin(twf)
Q7JZM8	FBgn0034001	Drosophila melanogaster	mitochondrial ribosomal protein L41(mRpL41)
Q9U912	FBgn0002524	Drosophila melanogaster	CG4162 gene product from transcript CG4162-RA(lace)
Q01637	FBgn0003257	Drosophila melanogaster	rudimentary-like(r-l)
A8DYI6	FBgn0010551	Drosophila melanogaster	Prohibitin 2(Phb2)
Q8SWT2	FBgn0032883	Drosophila melanogaster	CG9323 gene product from transcript CG9323-RB(CG9323)
Q7JZK1	FBgn0033570	Drosophila melanogaster	NADH dehydrogenase (ubiquinone) B14 subunit(ND-B14)
Q7KTI7	FBgn0032006	Drosophila melanogaster	PDGF- and VEGF-receptor related(Pvr)
Q8SX57	FBgn0051549	Drosophila melanogaster	CG31549 gene product from transcript CG31549-RA(CG31549)
Q8SWT8	FBgn0036428	Drosophila melanogaster	Glycogen binding subunit 70E(Gbs-70E)
A8DYI9	FBgn0034418	Drosophila melanogaster	CG15118 gene product from transcript CG15118-RA(CG15118)
Q7KTI0	FBgn0026718	Drosophila melanogaster	CG17608 gene product from transcript CG17608-RA(fu12)
Q8T021	FBgn0263605	Drosophila melanogaster	lethal (3) 72Dn(l(3)72Dn)
Q9W4J4	FBgn0029715	Drosophila melanogaster	CG11444 gene product from transcript CG11444-RB(CG11444)
A1ZAN6	FBgn0023172	Drosophila melanogaster	Rho guanine nucleotide exchange factor 2(RhoGEF2)
Q8SX50	FBgn0035318	Drosophila melanogaster	CG9018 gene product from transcript CG9018-RA(CG9018)
A1Z909	FBgn0033741	Drosophila melanogaster	CG8545 gene product from transcript CG8545-RA(CG8545)
Q7KKH3	FBgn0033379	Drosophila melanogaster	Mystery 45A(Mys45A)
A8DYI2	FBgn0050118	Drosophila melanogaster	CG30118 gene product from transcript CG30118-RC(CG30118)
B7YZR2	FBgn0033466	Drosophila melanogaster	Peptidyl-alpha-hydroxyglycine-alpha-amidating lyase 1(Pal1)
B7YZR1	FBgn0033005	Drosophila melanogaster	CG3107 gene product from transcript CG3107-RB(CG3107)
Q9VSJ8	FBgn0266667	Drosophila melanogaster	Exo70 ortholog (S. cerevisiae)(Exo70)
Q9VFL5	FBgn0027083	Drosophila melanogaster	mitochondrial methionyl-tRNA synthetase(Aats-met-m)
Q9W4J5	FBgn0029714	Drosophila melanogaster	CG3527 gene product from transcript CG3527-RA(CG3527)
Q8T8T9	FBgn0051717	Drosophila melanogaster	CG31717 gene product from transcript CG31717-RA(CG31717)
B7YZR8	FBgn0022238	Drosophila melanogaster	lola like(lolal)
O61650	FBgn0024352	Drosophila melanogaster	Hsp70/Hsp90 organizing protein homolog(Hop)
B7YZR5	FBgn0043010	Drosophila melanogaster	F-box synaptic protein(Fsn)
Q8SX63	FBgn0011785	Drosophila melanogaster	CG31132 gene product from transcript CG31132-RA(BRWD3)
Q7KTH8	FBgn0261437	Drosophila melanogaster	COP9 signalosome subunit 8(CSN8)
A1Z8N1	FBgn0050035	Drosophila melanogaster	Trehalose transporter 1-1(Tret1-1)
Q71V44	FBgn0022787	Drosophila melanogaster	Helicase 89B(Hel89B)
Q9VSI1	FBgn0035878	Drosophila melanogaster	CG7182 gene product from transcript CG7182-RB(CG7182)
Q8T010	FBgn0031762	Drosophila melanogaster	CG9098 gene product from transcript CG9098-RC(CG9098)
A8DYH2	FBgn0085220	Drosophila melanogaster	CG34191 gene product from transcript CG34191-RA(CG34191)
A1ZB00	FBgn0026309	Drosophila melanogaster	adrift(aft)
A4V0I0	FBgn0000273	Drosophila melanogaster	Protein kinase, cAMP-dependent, catalytic subunit 1(Pka-C1)
B7YZQ1	FBgn0035001	Drosophila melanogaster	Sterile20-like kinase(Slik)
Q9VFK6	FBgn0011474	Drosophila melanogaster	SET domain containing 8(Set8)
Q9VFK5	FBgn0038223	Drosophila melanogaster	Aftiphilin(Afti)
Q8T972	FBgn0033544	Drosophila melanogaster	CG7220 gene product from transcript CG7220-RA(CG7220)
A1ZAT5	FBgn0034223	Drosophila melanogaster	Testin ortholog(Tes)
Q9VFS5	FBgn0024555	Drosophila melanogaster	falafel(flfl)
A1ZAT7	FBgn0022987	Drosophila melanogaster	quaking related 54B(qkr54B)
Q8T089	FBgn0037442	Drosophila melanogaster	godzilla E3 ubiquitin protein ligase(godzilla)
Q8T088	FBgn0037943	Drosophila melanogaster	CG14722 gene product from transcript CG14722-RA(CG14722)
Q9VFS8	FBgn0038166	Drosophila melanogaster	CG9588 gene product from transcript CG9588-RA(CG9588)
P32865	FBgn0260798	Drosophila melanogaster	G protein-coupled receptor kinase 1(Gprk1)
Q8SWV7	FBgn0039302	Drosophila melanogaster	Nucleoporin 358kD(Nup358)
Q8SX76	FBgn0051453	Drosophila melanogaster	CG31453 gene product from transcript CG31453-RB(pch2)
A1Z927	FBgn0022764	Drosophila melanogaster	CG8815 gene product from transcript CG8815-RC(Sin3A)
A1Z8Q7	FBgn0260959	Drosophila melanogaster	Microcephalin(MCPH1)
Q8SWV5	FBgn0034494	Drosophila melanogaster	CG10444 gene product from transcript CG10444-RA(CG10444)
Q7JZI2	FBgn0036769	Drosophila melanogaster	Tetraspanin 74F(Tsp74F)
A4V0F1	FBgn0003607	Drosophila melanogaster	Suppressor of variegation 205(Su(var)205)
Q7K4C7	FBgn0041342	Drosophila melanogaster	CTP:phosphocholine cytidylyltransferase 1(Cct1)
Q01604	FBgn0250906	Drosophila melanogaster	Phosphoglycerate kinase(Pgk)
B7YZP9	FBgn0259209	Drosophila melanogaster	Muscle LIM protein at 60A(Mlp60A)
B7YZP6	FBgn0034903	Drosophila melanogaster	CG9850 gene product from transcript CG9850-RC(CG9850)
A8DYB7	FBgn0033739	Drosophila melanogaster	Dystrobrevin(Dyb)
P05205	FBgn0003607	Drosophila melanogaster	Suppressor of variegation 205(Su(var)205)
Q9VSH4	FBgn0035872	Drosophila melanogaster	CG7185 gene product from transcript CG7185-RB(CG7185)
Q9VSH9	FBgn0035877	Drosophila melanogaster	CG7083 gene product from transcript CG7083-RA(CG7083)
Q8IRB5	FBgn0052251	Drosophila melanogaster	CG32251 gene product from transcript CG32251-RB(Claspin)
Q8SX81	FBgn0052350	Drosophila melanogaster	Vacuolar protein sorting 11(Vps11)
Q9VG33	FBgn0038080	Drosophila melanogaster	CG12279 gene product from transcript CG12279-RA(CG12279)
Q8T079	FBgn0043456	Drosophila melanogaster	CG4747 gene product from transcript CG4747-RB(CG4747)
Q95T92	FBgn0260960	Drosophila melanogaster	CG3971 gene product from transcript CG3971-RA(Baldspot)
A1ZB68	FBgn0063497	Drosophila melanogaster	Glutathione S transferase E3(GstE3)
Q95078	FBgn0010383	Drosophila melanogaster	Cytochrome P450-18a1(Cyp18a1)
Q8SWW2	FBgn0033665	Drosophila melanogaster	Zinc/iron regulated transporter-related protein 48C(Zip48C)
Q9W4G1	FBgn0029733	Drosophila melanogaster	CG6927 gene product from transcript CG6927-RA(CG6927)
Q95T98	FBgn0051523	Drosophila melanogaster	CG31523 gene product from transcript CG31523-RB(CG31523)
O61604	FBgn0024238	Drosophila melanogaster	Fimbrin(Fim)
Q8SWW9	FBgn0023536	Drosophila melanogaster	CG3156 gene product from transcript CG3156-RA(CG3156)
P45437	FBgn0008635	Drosophila melanogaster	Coat Protein (coatomer) beta(betaCOP)
A1ZB61	FBgn0034331	Drosophila melanogaster	CG15067 gene product from transcript CG15067-RA(CG15067)
Q7K4C2	FBgn0033584	Drosophila melanogaster	CG7737 gene product from transcript CG7737-RA(CG7737)
A1ZAU4	FBgn0034229	Drosophila melanogaster	CG4847 gene product from transcript CG4847-RA(CG4847)
A1Z8P9	FBgn0013756	Drosophila melanogaster	Megator(Mtor)
Q8SWW4	FBgn0032481	Drosophila melanogaster	CG16972 gene product from transcript CG16972-RA(CG16972)
Q9VFR1	FBgn0260464	Drosophila melanogaster	CG9288 gene product from transcript CG9288-RA(CG9288)
Q9VFR0	FBgn0038183	Drosophila melanogaster	CG9286 gene product from transcript CG9286-RA(CG9286)
A8DYB0	FBgn0033661	Drosophila melanogaster	CG13185 gene product from transcript CG13185-RD(CG13185)
Q7K4B4	FBgn0033740	Drosophila melanogaster	dim gamma-tubulin 5(dgt5)
Q7K4B3	FBgn0033540	Drosophila melanogaster	Elongator complex protein 2(Elp2)
Q86DR2	FBgn0029676	Drosophila melanogaster	Hsc/Hsp70-interacting protein related(HIP-R)
Q9VFQ9	FBgn0000454	Drosophila melanogaster	Dipeptidase B(Dip-B)
Q95083	FBgn0016697	Drosophila melanogaster	Proteasome alpha5 subunit(Prosalpha5)
Q8T080	FBgn0019890	Drosophila melanogaster	CG8954 gene product from transcript CG8954-RB(Smg5)
Q9VSF0	FBgn0035850	Drosophila melanogaster	Autophagy-related 18a(Atg18a)
O61618	FBgn0023388	Drosophila melanogaster	Dynamin associated protein 160(Dap160)
Q95SY7	FBgn0038947	Drosophila melanogaster	Sar1 ortholog (S. cerevisiae)(Sar1)
Q8T069	FBgn0027655	Drosophila melanogaster	huntingtin(htt)
Q8SX92	FBgn0035268	Drosophila melanogaster	CG8001 gene product from transcript CG8001-RA(CG8001)
Q8IRE4	FBgn0052281	Drosophila melanogaster	CG32281 gene product from transcript CG32281-RA(CG32281)
Q8SWX1	FBgn0052685	Drosophila melanogaster	CG32685 gene product from transcript CG32685-RC(ZAP3)
Q8SWX8	FBgn0038039	Drosophila melanogaster	CG5196 gene product from transcript CG5196-RA(CG5196)
Q7K4B2	FBgn0033059	Drosophila melanogaster	CG7845 gene product from transcript CG7845-RB(CG7845)
A1ZAR2	FBgn0034202	Drosophila melanogaster	CG17287 gene product from transcript CG17287-RA(CG17287)
A1Z945	FBgn0033766	Drosophila melanogaster	CG8771 gene product from transcript CG8771-RB(CG8771)
A1Z8S6	FBgn0260012	Drosophila melanogaster	CG17509 gene product from transcript CG17509-RB(pds5)
A1Z942	FBgn0261625	Drosophila melanogaster	Glutaminase(GLS)
Q86M30	FBgn0044323	Drosophila melanogaster	Connector of kinase to AP-1(Cka)
Q7JZF5	FBgn0033571	Drosophila melanogaster	CG11979 gene product from transcript CG11979-RB(Rpb5)
Q8IRD5	FBgn0035437	Drosophila melanogaster	Striatin interacting protein(Strip)
Q9W4F8	FBgn0029736	Drosophila melanogaster	CG4041 gene product from transcript CG4041-RB(CG4041)
P27864	FBgn0004584	Drosophila melanogaster	Recombination repair protein 1(Rrp1)
Q9VSF3	FBgn0035853	Drosophila melanogaster	Ubiquitin conjugating enzyme E2M(UbcE2M)
Q9VSF4	FBgn0035854	Drosophila melanogaster	CG8005 gene product from transcript CG8005-RA(CG8005)
O61613	FBgn0020392	Drosophila melanogaster	N-myristoyl transferase(Nmt)
Q9VSF2	FBgn0035851	Drosophila melanogaster	Mediator complex subunit 24(MED24)
Q9VG14	FBgn0038099	Drosophila melanogaster	CG7091 gene product from transcript CG7091-RB(CG7091)
Q7KTL4	FBgn0031878	Drosophila melanogaster	septin interacting protein 2(sip2)
A1ZAS8	FBgn0027506	Drosophila melanogaster	Egg-derived tyrosine phosphatase(EDTP)
Q8IRD3	FBgn0035438	Drosophila melanogaster	CG12013 gene product from transcript CG12013-RC(PHGPx)
Q9VFP0	FBgn0038195	Drosophila melanogaster	CG3061 gene product from transcript CG3061-RA(CG3061)
Q8IRD0	FBgn0052267	Drosophila melanogaster	CG32267 gene product from transcript CG32267-RA(CG32267)
Q8IRD1	FBgn0035443	Drosophila melanogaster	CG12010 gene product from transcript CG12010-RB(CG12010)
Q8SWY7	FBgn0037469	Drosophila melanogaster	Dephospho-CoA kinase(Dpck)
A1ZAS3	FBgn0022029	Drosophila melanogaster	lethal (2) k01209(l(2)k01209)
A1Z8R8	FBgn0033672	Drosophila melanogaster	rhomboid-7(rho-7)
A8DYD2	FBgn0000289	Drosophila melanogaster	combgap(cg)
B7YZL9	FBgn0020440	Drosophila melanogaster	Focal adhesion kinase(Fak)
A1Z934	FBgn0033761	Drosophila melanogaster	CG8778 gene product from transcript CG8778-RA(CG8778)
A1Z935	FBgn0033762	Drosophila melanogaster	Zinc transporter 49B(ZnT49B)
B7YZM3	FBgn0261554	Drosophila melanogaster	CG42672 gene product from transcript CG42672-RP(CG42672)
A1Z933	FBgn0061360	Drosophila melanogaster	CG33672 gene product from transcript CG33672-RA(CG33672)
A1Z8R2	FBgn0026573	Drosophila melanogaster	ADD domain-containing protein 1(ADD1)
Q9VSE8	FBgn0035848	Drosophila melanogaster	CG7979 gene product from transcript CG7979-RA(CG7979)
Q9VG07	FBgn0038106	Drosophila melanogaster	CG7488 gene product from transcript CG7488-RA(CG7488)
Q9TVX6	FBgn0029152	Drosophila melanogaster	Makorin 1(Mkrn1)
A1Z850	FBgn0010531	Drosophila melanogaster	Copper chaperone for superoxide dismutase(Ccs)
Q86DT5	FBgn0027052	Drosophila melanogaster	CHIP ortholog(CHIP)
Q2XYK6	FBgn0035866	Drosophila melanogaster	ADP-ribosylation factor-like 5(Arl5)
A8JUX7	FBgn0266000	Drosophila melanogaster	CG44774 gene product from transcript CG44774-RH(CG44774)
Q7KTP4	FBgn0053113	Drosophila melanogaster	Reticulon-like1(Rtnl1)
A8JUY3	FBgn0030687	Drosophila melanogaster	CG17209 gene product from transcript CG17209-RC(CG17209)
A8JUY0	FBgn0014024	Drosophila melanogaster	RNA-binding protein 4F(Rnp4F)
Q7KTP7	FBgn0264743	Drosophila melanogaster	CG44001 gene product from transcript CG44001-RA(CG44001)
Q0E9B5	FBgn0033713	Drosophila melanogaster	CG8841 gene product from transcript CG8841-RC(CG8841)
Q0E9B6	FBgn0033699	Drosophila melanogaster	Ribosomal protein S11(RpS11)
Q9VEB4	FBgn0038584	Drosophila melanogaster	CG7175 gene product from transcript CG7175-RA(mTerf5)
Q9VEB3	FBgn0038585	Drosophila melanogaster	Novel nucleolar protein 3(Non3)
Q24117	FBgn0011760	Drosophila melanogaster	cut up(ctp)
Q24113	FBgn0015520	Drosophila melanogaster	nonA-like(nonA-l)
Q9VEB1	FBgn0262559	Drosophila melanogaster	Malate dehydrogenase 2(Mdh2)
Q7JZ25	FBgn0033755	Drosophila melanogaster	Chloride channel-b(ClC-b)
Q7JYQ4	FBgn0034527	Drosophila melanogaster	CG9945 gene product from transcript CG9945-RA(CG9945)
Q6WSQ9	FBgn0263112	Drosophila melanogaster	CG43369 gene product from transcript CG43369-RA(Mitf)
A8DYA3	FBgn0033636	Drosophila melanogaster	toutatis(tou)
A1Z833	FBgn0033474	Drosophila melanogaster	CG1407 gene product from transcript CG1407-RB(CG1407)
Q9VEC8	FBgn0038571	Drosophila melanogaster	CG7215 gene product from transcript CG7215-RA(CG7215)
Q8SXM8	FBgn0027084	Drosophila melanogaster	Lysyl-tRNA synthetase(Aats-lys)
Q9VEC5	FBgn0261532	Drosophila melanogaster	cadmus(cdm)
A1Z830	FBgn0033473	Drosophila melanogaster	CG12128 gene product from transcript CG12128-RB(CG12128)
Q9VEC2	FBgn0038577	Drosophila melanogaster	CG12321 gene product from transcript CG12321-RA(CG12321)
Q9VRA2	FBgn0002641	Drosophila melanogaster	maroon-like(mal)
Q7KU30	FBgn0020445	Drosophila melanogaster	Early gene at 23(E23)
Q9VEC1	FBgn0038578	Drosophila melanogaster	Mediator complex subunit 17(MED17)
Q7JZ56	FBgn0033656	Drosophila melanogaster	site-2 protease(S2P)
Q7JZ53	FBgn0034232	Drosophila melanogaster	CG4866 gene product from transcript CG4866-RA(CG4866)
O02649	FBgn0015245	Drosophila melanogaster	Heat shock protein 60(Hsp60)
A1Z7S4	FBgn0033391	Drosophila melanogaster	CG8026 gene product from transcript CG8026-RD(CG8026)
Q8SXL0	FBgn0260986	Drosophila melanogaster	meiotic 38(mei-38)
Q8T9L3	FBgn0036990	Drosophila melanogaster	mitochondrial ribosomal protein L15(mRpL15)
A1Z843	FBgn0033482	Drosophila melanogaster	CG1371 gene product from transcript CG1371-RA(CG1371)
Q8I077	FBgn0028476	Drosophila melanogaster	Ubiquitin specific protease 1(Usp1)
A1Z840	FBgn0013435	Drosophila melanogaster	Cdc2-related kinase(Cdc2rk)
A1Z7S0	FBgn0015477	Drosophila melanogaster	Receptor mediated endocytosis 8(Rme-8)
A1Z7S1	FBgn0002567	Drosophila melanogaster	CG8024 gene product from transcript CG8024-RD(Rab32)
Q9W3B3	FBgn0030066	Drosophila melanogaster	CG1885 gene product from transcript CG1885-RB(CG1885)
Q9W3B2	FBgn0030067	Drosophila melanogaster	RNA-binding motif protein 13(Rbm13)
Q7KM15	FBgn0000181	Drosophila melanogaster	bicaudal(bic)
Q9NIH3	FBgn0024807	Drosophila melanogaster	DISCO Interacting Protein 1(DIP1)
Q9TVU0	FBgn0029502	Drosophila melanogaster	CG14437 gene product from transcript CG14437-RA(COQ7)
Q7KTS2	FBgn0037363	Drosophila melanogaster	Autophagy-related 17(Atg17)
A4V0R4	FBgn0010382	Drosophila melanogaster	Cyclin E(CycE)
Q7KTS4	FBgn0025825	Drosophila melanogaster	Histone deacetylase 3(HDAC3)
Q6WAR0	FBgn0031145	Drosophila melanogaster	Nuclear transport factor-2(Ntf-2)
Q8I079	FBgn0052640	Drosophila melanogaster	CG32640 gene product from transcript CG32640-RA(CG32640)
Q0E9A5	FBgn0033757	Drosophila melanogaster	CG8811 gene product from transcript CG8811-RC(muskelin)
Q0E9A1	FBgn0261625	Drosophila melanogaster	Glutaminase(GLS)
Q7KLW8	FBgn0024509	Drosophila melanogaster	Sec13 ortholog (S. cerevisiae)(Sec13)
Q7KU53	FBgn0031161	Drosophila melanogaster	CG15445 gene product from transcript CG15445-RA(CG15445)
Q7K4Y9	FBgn0011754	Drosophila melanogaster	Phosphorylase kinase gamma(PhKgamma)
A1Z892	FBgn0033520	Drosophila melanogaster	Peroxiredoxin 2540-1(Prx2540-1)
Q9VEE9	FBgn0038552	Drosophila melanogaster	CG18012 gene product from transcript CG18012-RA(CG18012)
Q7JYM9	FBgn0000477	Drosophila melanogaster	Deoxyribonuclease II(DNaseII)
A1Z898	FBgn0033526	Drosophila melanogaster	Chromatin assembly factor 1, p105 subunit(Caf1-105)
Q7KLW6	FBgn0028700	Drosophila melanogaster	Replication factor C 38kD subunit(RfC38)
Q9VQZ6	FBgn0031604	Drosophila melanogaster	Elongator complex protein 3(Elp3)
Q0E9G3	FBgn0033224	Drosophila melanogaster	Nop17 like(Nop17l)
Q7KLW5	FBgn0010516	Drosophila melanogaster	walrus(wal)
Q7K4Y0	FBgn0086687	Drosophila melanogaster	Desaturase 1(Desat1)
Q9VQY9	FBgn0261976	Drosophila melanogaster	CG18013 gene product from transcript CG18013-RC(Psf2)
Q7JYN2	FBgn0030853	Drosophila melanogaster	NADH dehydrogenase (ubiquinone) 24 kDa subunit(ND-24)
Q7KLX0	FBgn0024542	Drosophila melanogaster	Neosin(Neos)
Q8SY42	FBgn0031842	Drosophila melanogaster	Transport and Golgi organization 1(Tango1)
Q8SY41	FBgn0266019	Drosophila melanogaster	CG43154 gene product from transcript CG43154-RD(rudhira)
Q0E9F9	FBgn0033241	Drosophila melanogaster	CG2915 gene product from transcript CG2915-RA(CG2915)
Q8SXS0	FBgn0260467	Drosophila melanogaster	CG7071 gene product from transcript CG7071-RC(CG7071)
O76523	FBgn0025457	Drosophila melanogaster	CG7581 gene product from transcript CG7581-RB(Bub3)
Q7KU60	FBgn0052423	Drosophila melanogaster	alan shepard(shep)
Q7K4Z4	FBgn0013983	Drosophila melanogaster	immune deficiency(imd)
Q7KTU2	FBgn0052451	Drosophila melanogaster	Secretory Pathway Calcium atpase(SPoCk)
Q2XYH0	FBgn0011787	Drosophila melanogaster	mitochondrial ribosomal protein L12(mRpL12)
Q8SXR7	FBgn0034999	Drosophila melanogaster	CG3394 gene product from transcript CG3394-RA(CG3394)
O76522	FBgn0027338	Drosophila melanogaster	karyopherin alpha3(Kap-alpha3)
Q8SY39	FBgn0052344	Drosophila melanogaster	CG32344 gene product from transcript CG32344-RA(CG32344)
O76521	FBgn0024889	Drosophila melanogaster	karyopherin alpha1(Kap-alpha1)
Q8SY34	FBgn0036801	Drosophila melanogaster	CG6896 gene product from transcript CG6896-RB(MYPT-75D)
Q8SXR1	FBgn0053126	Drosophila melanogaster	Neural Lazarillo(NLaz)
Q4V3Z5	FBgn0034495	Drosophila melanogaster	CG11788 gene product from transcript CG11788-RA(CG11788)
P50535	FBgn0005617	Drosophila melanogaster	male-specific lethal 1(msl-1)
P20353	FBgn0001104	Drosophila melanogaster	G protein alpha i subunit(Galphai)
Q7KTV5	FBgn0037137	Drosophila melanogaster	CG7421 gene product from transcript CG7421-RE(Nopp140)
Q2XYI2	FBgn0031310	Drosophila melanogaster	Vacuolar protein sorting 29(Vps29)
A8DY95	FBgn0033538	Drosophila melanogaster	CG11883 gene product from transcript CG11883-RD(CG11883)
Q7KBL8	FBgn0001276	Drosophila melanogaster	intersex(ix)
A1Z876	FBgn0026403	Drosophila melanogaster	Nidogen/entactin(Ndg)
Q8SXQ5	FBgn0030584	Drosophila melanogaster	CG14407 gene product from transcript CG14407-RA(CG14407)
A1Z7V8	FBgn0033426	Drosophila melanogaster	CG1814 gene product from transcript CG1814-RC(CG1814)
Q9VEG8	FBgn0051249	Drosophila melanogaster	CG31249 gene product from transcript CG31249-RA(CG31249)
Q9VEG9	FBgn0038536	Drosophila melanogaster	CG7655 gene product from transcript CG7655-RA(CG7655)
Q05344	FBgn0010278	Drosophila melanogaster	Structure specific recognition protein(Ssrp)
Q2XYI8	FBgn0265101	Drosophila melanogaster	suppressor-of-G2-allele-of-skp1(Sgt1)
Q7KTV9	FBgn0052438	Drosophila melanogaster	Structural maintenance of chromosomes 5(SMC5)
A1Z7W1	FBgn0033427	Drosophila melanogaster	CG1868 gene product from transcript CG1868-RB(CG1868)
Q7KTW5	FBgn0037063	Drosophila melanogaster	CG9391 gene product from transcript CG9391-RC(CG9391)
Q7KU86	FBgn0053276	Drosophila melanogaster	CG33276 gene product from transcript CG33276-RB(CG33276)
A4V0N4	FBgn0263598	Drosophila melanogaster	Vacuolar H[+] ATPase 68 kDa subunit 2(Vha68-2)
A1Z7W5	FBgn0033431	Drosophila melanogaster	CG1827 gene product from transcript CG1827-RD(CG1827)
Q8SXP0	FBgn0263593	Drosophila melanogaster	Lipin(Lpin)
Q0E9E2	FBgn0027580	Drosophila melanogaster	Pyruvate carboxylase(PCB)
Q8I8U7	FBgn0053554	Drosophila melanogaster	CG33554 gene product from transcript CG33554-RE(Nipped-A)
Q7KTW9	FBgn0270926	Drosophila melanogaster	Asparagine synthetase(AsnS)
Q9VZZ6	FBgn0035355	Drosophila melanogaster	CG16985 gene product from transcript CG16985-RA(CG16985)
Q7K569	FBgn0022160	Drosophila melanogaster	Glycerophosphate oxidase-1(Gpo-1)
Q7K568	FBgn0033448	Drosophila melanogaster	CG1623 gene product from transcript CG1623-RD(hebe)
Q24198	FBgn0261393	Drosophila melanogaster	alpha-Esterase-5(alpha-Est5)
Q7K566	FBgn0036199	Drosophila melanogaster	CG7314 gene product from transcript CG7314-RB(Bmcp)
Q02870	FBgn0001179	Drosophila melanogaster	haywire(hay)
Q24193	FBgn0261261	Drosophila melanogaster	pollux(plx)
Q24194	FBgn0015568	Drosophila melanogaster	alpha-Esterase-1(alpha-Est1)
Q9XTM1	FBgn0266673	Drosophila melanogaster	Sec10 ortholog (S. cerevisiae)(Sec10)
Q24196	FBgn0015571	Drosophila melanogaster	alpha-Esterase-3(alpha-Est3)
Q9VR62	FBgn0031194	Drosophila melanogaster	CG17598 gene product from transcript CG17598-RB(CG17598)
P53777	FBgn0259209	Drosophila melanogaster	Muscle LIM protein at 60A(Mlp60A)
Q9W363	FBgn0260789	Drosophila melanogaster	multi sex combs(mxc)
Q9W2U4	FBgn0030208	Drosophila melanogaster	Protein phosphatase 4 regulatory subunit 2-related protein(PPP4R2r)
Q9VE94	FBgn0038601	Drosophila melanogaster	CG18600 gene product from transcript CG18600-RA(CG18600)
Q9W366	FBgn0030109	Drosophila melanogaster	CG12121 gene product from transcript CG12121-RA(CG12121)
Q9VE96	FBgn0010877	Drosophila melanogaster	lethal (3) 05822(l(3)05822)
Q9W2U8	FBgn0083167	Drosophila melanogaster	CG15304 gene product from transcript CG15304-RB(Neb-cGP)
Q9VE98	FBgn0038597	Drosophila melanogaster	CG8064 gene product from transcript CG8064-RA(CG8064)
Q9VZZ5	FBgn0035356	Drosophila melanogaster	CG16986 gene product from transcript CG16986-RA(CG16986)
Q9W370	FBgn0030105	Drosophila melanogaster	CG15369 gene product from transcript CG15369-RB(CG15369)
Q7KU90	FBgn0028582	Drosophila melanogaster	liquid facets(lqf)
Q8T9G8	FBgn0027094	Drosophila melanogaster	Alanyl-tRNA synthetase(Aats-ala)
Q8SXG7	FBgn0031607	Drosophila melanogaster	CG15440 gene product from transcript CG15440-RA(CG15440)
Q7K561	FBgn0033917	Drosophila melanogaster	CG8503 gene product from transcript CG8503-RA(CG8503)
A8DY77	FBgn0028408	Drosophila melanogaster	DNA fragmentation factor-related protein 2(Drep2)
A8DY79	FBgn0259246	Drosophila melanogaster	bruchpilot(brp)
Q8SXG3	FBgn0032906	Drosophila melanogaster	Replication protein A2(RPA2)
A8DY76	FBgn0020621	Drosophila melanogaster	Protein kinase N(Pkn)
Q4QPU3	FBgn0033085	Drosophila melanogaster	CG15908 gene product from transcript CG15908-RA(CG15908)
Q6KCK5	FBgn0031491	Drosophila melanogaster	CG17223 gene product from transcript CG17223-RA(alpha4GT1)
Q9XTN2	FBgn0024248	Drosophila melanogaster	CG5686 gene product from transcript CG5686-RB(chico)
Q9VZY0	FBgn0035370	Drosophila melanogaster	Novel nucleolar protein 2(Non2)
Q9W376	FBgn0030099	Drosophila melanogaster	CG12056 gene product from transcript CG12056-RA(CG12056)
Q4LDP7	FBgn0036211	Drosophila melanogaster	CG5946 gene product from transcript CG5946-RB(CG5946)
Q9W2V9	FBgn0028331	Drosophila melanogaster	lethal (1) G0289(l(1)G0289)
Q9W379	FBgn0030096	Drosophila melanogaster	CG9060 gene product from transcript CG9060-RA(Zpr1)
Q9W2V7	FBgn0030196	Drosophila melanogaster	CG2222 gene product from transcript CG2222-RC(Psf3)
Q9VQV7	FBgn0031575	Drosophila melanogaster	CG3980 gene product from transcript CG3980-RB(Cep97)
Q9W378	FBgn0026206	Drosophila melanogaster	meiotic P26(mei-P26)
Q8T9F1	FBgn0032050	Drosophila melanogaster	CG13096 gene product from transcript CG13096-RB(CG13096)
Q8SXF0	FBgn0037529	Drosophila melanogaster	mitochondrial ribosomal protein S9(mRpS9)
A8DY81	FBgn0085436	Drosophila melanogaster	CG34407 gene product from transcript CG34407-RG(Not1)
Q9VR81	FBgn0031099	Drosophila melanogaster	CG17065 gene product from transcript CG17065-RD(CG17065)
Q9W380	FBgn0040931	Drosophila melanogaster	CG9034 gene product from transcript CG9034-RB(CG9034)
Q9VR80	FBgn0031098	Drosophila melanogaster	CG17068 gene product from transcript CG17068-RA(CG17068)
Q7JYY0	FBgn0038834	Drosophila melanogaster	Ribosomal protein S30(RpS30)
Q8T9F2	FBgn0041161	Drosophila melanogaster	bluestreak(blue)
Q24172	FBgn0015000	Drosophila melanogaster	beta subunit of type I geranylgeranyl transferase(betaggt-I)
Q8T9D9	FBgn0000247	Drosophila melanogaster	claret(ca)
Q9VZX6	FBgn0035374	Drosophila melanogaster	mitochondrial ribosomal protein S35(mRpS35)
Q9W389	FBgn0030088	Drosophila melanogaster	ADP-ribosylation factor related protein 1(Arfrp1)
Q9VR89	FBgn0027334	Drosophila melanogaster	lethal (1) G0004(l(1)G0004)
