# submitted_item	validated_id	current_symbol
dec1	FBgn0000427	dec-1
CG6766	FBgn0032398	CG6766
CG6767	FBgn0036030	Prps
CG6769	FBgn0030878	CG6769
CG6776	FBgn0035904	GstO3
CG6782	FBgn0037912	sea
CG6783	FBgn0037913	fabp
CG6793	FBgn0036242	CG6793
CG6796	FBgn0034177	AsnRS-m
CG6807	FBgn0267795	Frl
CG6812	FBgn0036843	Sfxn2
CG6833	FBgn0036405	CG6833
CG6838	FBgn0037182	ArfGAP3
CG6841	FBgn0036828	CG6841
CG6852	FBgn0036820	Grx1
CG6854	FBgn0266441	CG45071
CG6854	FBgn0266452	CTPsyn
CG6859	FBgn0036484	Pex3
CG6876	FBgn0036487	Prp31
CG6878	FBgn0036488	CG6878
CG6888	FBgn0036490	CG6888
CG6891	FBgn0030955	CG6891
CG6904	FBgn0266064	GlyS
CG6905	FBgn0265574	Cdc5
CG6907	FBgn0031711	CG6907
CG6927	FBgn0029733	CG6927
CG6928	FBgn0036240	CG6928
CG6937	FBgn0038989	CG6937
CG6945	FBgn0036476	sstn
CG6950	FBgn0037955	Kyat
CG6961	FBgn0030959	CG6961
CG6962	FBgn0037958	CG6962
CG6967	FBgn0034187	CG6967
CG6983	FBgn0035896	CG6983
CG6984	FBgn0034191	CG6984
CG6985	FBgn0039017	CG6985
CG6994	FBgn0052343	Atac3
CG6994	FBgn0052344	CG32344
CG6995	FBgn0039229	Saf-B
CG7006	FBgn0039233	CG7006
CG7009	FBgn0038861	Trm7-34
CG7011	FBgn0036489	CG7011
CG7023	FBgn0039025	Usp12-46
CG7033	FBgn0030086	CCT2
CG7039	FBgn0030088	Arfrp1
CG7044	FBgn0038854	CG7044
CG7048	FBgn0038976	Pfdn5
CG7049	FBgn0035102	CG7049
CG7054	FBgn0038972	CG7054
CG7065	FBgn0030091	CG7065
CG7071	FBgn0260467	CG7071
CG7071	FBgn0083967	Muted
CG7083	FBgn0035877	CG7083
CG7091	FBgn0038099	CG7091
CG7097	FBgn0263395	hppy
CG7102	FBgn0031961	CG7102
CG7112	FBgn0035879	GAPcenA
CG7115	FBgn0027515	CG7115
CG7133	FBgn0037150	CG7133
CG7137	FBgn0034422	CG7137
CG7145	FBgn0037138	P5CDh1
CG7154	FBgn0031947	CG7154
CG7172	FBgn0037102	CRIF
CG7175	FBgn0038584	mTerf5
CG7177	FBgn0037098	Wnk
CG7182	FBgn0035878	CG7182
CG7185	FBgn0035872	Cpsf6
CG7192	FBgn0030894	Mvb12
CG7197	FBgn0035866	Arl5
CG7200	FBgn0032671	JMJD4
CG7208	FBgn0038575	CG7208
CG7215	FBgn0038571	CG7215
CG7219	FBgn0031973	Spn28Dc
CG7220	FBgn0033544	CG7220
CG7224-RA	FBtr0079532	Sirup-RA
CG7231	FBgn0031968	CG7231
CG7239	FBgn0031740	CG7239
CG7246	FBgn0030081	CG7246
CG7255	FBgn0036493	CG7255
CG7257	FBgn0036224	Rpt4R
CG7261	FBgn0027509	TBCD
CG7262	FBgn0038274	Nup93-2
CG7265	FBgn0038272	Dph2
CG7275	FBgn0036500	CG7275
CG7277	FBgn0031713	Coq6
CG7280	FBgn0030966	shop
CG7288	FBgn0030969	Usp39
CG7289	FBgn0031379	CG7289
CG7307	FBgn0085430	CG34401
CG7322	FBgn0030968	CG7322
CG7324	FBgn0037074	Tbc1d8-9
CG7326	FBgn0030970	CG7326
CG7328	FBgn0036942	CG7328
CG7332	FBgn0030973	CG7332
CG7337	FBgn0031374	Wdr62
CG7338	FBgn0037073	Tsr1
CG7339	FBgn0036188	CG7339
CG7341	FBgn0036777	CG7341
CG7351	FBgn0036184	PCID2
CG7356	FBgn0031975	Tg
CG7371	FBgn0031710	Vps52
CG7375	FBgn0035853	UbcE2M
CG7382	FBgn0031708	CG7382
CG7384	FBgn0032262	CG7384
CG7394	FBgn0036173	CG7394
CG7414	FBgn0037135	CG7414
CG7414	FBgn0037135	CG7414
CG7427	FBgn0036510	SCCRO
CG7429	FBgn0031979	CCDC53
CG7430	FBgn0036762	CG7430
CG7433	FBgn0036927	Gabat
CG7441	FBgn0036763	TrpRS-m
CG7444	FBgn0051216	Naam
CG7456	FBgn0032258	Cog4
CG7461	FBgn0034432	CG7461
CG7477	FBgn0051249	CG31249
CG7477	FBgn0051251	CG31251
CG7484	FBgn0036745	CG7484
CG7488	FBgn0038106	CG7488
CG7506	FBgn0035805	CG7506
CG7518	FBgn0038108	CG7518
CG7519	FBgn0037087	CG7519
CG7530	FBgn0038256	CG7530
CG7546	FBgn0035793	CG7546
CG7546	FBgn0035793	CG7546
CG7550	FBgn0035839	CG7550
CG7556	FBgn0030990	CG7556
CG7564	FBgn0036734	CG7564
CG7580	FBgn0036728	UQCR-Q
CG7593	FBgn0039687	Naa40
CG7597	FBgn0037093	Cdk12
CG7600	FBgn0064766	CG7600
CG7601	FBgn0027583	CG7601
CG7603	FBgn0036726	QIL1
CG7609	FBgn0027518	Wdr24
CG7611	FBgn0037094	CG7611
CG7627	FBgn0032026	CG7627
CG7628-RA	unknown ID	-
CG7630	FBgn0040793	CG7630
CG7632	FBgn0037071	CG7632
CG7637	FBgn0033548	CG7637
CG7638	FBgn0036133	CG7638
CG7639	FBgn0033989	CG7639
CG7656	FBgn0036516	CG7656
CG7668	FBgn0036929	CG7668
CG7670	FBgn0038608	WRNexo
CG7671	FBgn0038609	Nup43
CG7675	FBgn0038610	CG7675
CG7685	FBgn0038619	CG7685
CG7686	FBgn0027525	LTV1
CG7694	FBgn0038627	CG7694
CG7698	FBgn0261065	Cpsf73
CG7702	FBgn0038638	CG7702
CG7705	FBgn0286828	dind
CG7706	FBgn0038640	CG7706
CG7712	FBgn0033570	ND-B14
CG7718	FBgn0038649	CG7718
CG7728	FBgn0036686	CG7728
CG7730	FBgn0036689	CG7730
CG7737	FBgn0033584	CG7737
CG7739	FBgn0036509	CG7739
CG7740	FBgn0026189	promL
CG7741	FBgn0033615	CG7741
CG7744	FBgn0034447	CG7744
CG7747	FBgn0034109	CG7747
CG7757	FBgn0036915	Prp3
CG7766	FBgn0030087	CG7766
CG7770	FBgn0036918	Pfdn6
CG7772	FBgn0030883	CG7772
CG7777	FBgn0033635	Prip
CG7778	FBgn0032025	CG7778
CG7787	FBgn0032020	strat
CG7789	FBgn0039698	CG7789
CG7791	FBgn0033038	CG7791
CG7800	FBgn0037552	CG7800
CG7806	FBgn0032018	CG7806
CG7816	FBgn0039714	Zip99C
CG7818	FBgn0032016	Mettl14
CG7828	FBgn0261112	APP-BP1
CG7830	FBgn0032015	Ostgamma
CG7834	FBgn0039697	CG7834
CG7839	FBgn0036124	CG7839
CG7840	FBgn0032014	CG7840
CG7842	FBgn0036691	beg
CG7843	FBgn0033062	Ars2
CG7845	FBgn0284246	l(2)k09848
CG7857	FBgn0026738	CG7857
CG7860	FBgn0030653	CG7860
CG7861	FBgn0033055	Tbce
CG7870	FBgn0261020	wol
CG7872	FBgn0030658	CG7872
CG7878	FBgn0037549	CG7878
CG7879	FBgn0035235	CG7879
CG7888	FBgn0036116	CG7888
CG7889	FBgn0031003	CG7889
CG7911	FBgn0039735	Nph
CG7920	FBgn0039737	CG7920
CG7943	FBgn0039741	CG7943
CG7945	FBgn0036505	CG7945
CG7946	FBgn0039743	Jasper
CG7949	FBgn0036107	galla-2
CG7950	FBgn0260468	CG7950
CG7950	FBgn0085346	Rpp14a
CG7955	FBgn0035244	ABCB7
CG7956	FBgn0038890	CG7956
CG7966	FBgn0038115	CG7966
CG7967	FBgn0035251	Vta1
CG7970	FBgn0035252	CG7970
CG7971	FBgn0035253	Srrm234
CG7979	FBgn0035848	Uxs
CG7987	FBgn0038244	CG7987
CG7993	FBgn0038585	Non3
CG7997	FBgn0034117	CG7997
CG7998	FBgn0262559	Mdh2
CG8001	FBgn0035268	CG8001
CG8003	FBgn0036096	CG8003
CG8004	FBgn0036920	CG8004
CG8005	FBgn0035854	CG8005
CG8021-RA	FBtr0081878	SLIRP2-RA
CG8026	FBgn0033391	CG8026
CG8029	FBgn0262515	VhaAC45
CG8031	FBgn0038110	CG8031
CG8032	FBgn0037606	CG8032
CG8036	FBgn0037607	CG8036
CG8038	FBgn0035831	Pop4
CG8042	FBgn0027554	CG8042
CG8043	FBgn0037610	CG8043
CG8054	FBgn0050342	Prp38
CG8054	FBgn0050344	CG30344
CG8058	FBgn0033382	Hydr1
CG8064	FBgn0038597	CG8064
CG8067	FBgn0033891	CG8067
CG8078	FBgn0033375	CG8078
CG8080	FBgn0033373	CG8080
CG8090	FBgn0026404	Dronc
CG8090	FBgn0033995	GPHR
CG8092	FBgn0033998	row
CG8111	FBgn0035825	CG8111
CG8112	FBgn0037612	CG8112
CG8116	FBgn0037614	TMEM216
CG8132	FBgn0037687	CG8132
CG8142	FBgn0030871	CG8142
CG8149	FBgn0037700	CG8149
CG8165	FBgn0037703	JHDM2
CG8173	FBgn0030864	CG8173
CG8176	FBgn0037702	CG8176
CG8177	FBgn0036043	Ae2
CG8180	FBgn0034021	CG8180
CG8184	FBgn0030674	HUWE1
CG8185	FBgn0050467	CG30467
CG8185	FBgn0050471	CG30471
CG8187	FBgn0034027	CG8187
CG8188	FBgn0030863	CG8188
CG8193	FBgn0033367	PPO2
CG8199	FBgn0037709	CG8199
CG8202	FBgn0037622	CG8202
CG8204	FBgn0034033	CG8204
CG8207	FBgn0034035	CG8207
CG8209	FBgn0035830	CG8209
CG8211	FBgn0030858	IntS2
CG8214	FBgn0266708	Cep89
CG8223	FBgn0037624	CG8223
CG8228	FBgn0261049	Vps45
CG8230	FBgn0027607	CG8230
CG8232	FBgn0033352	PAN2
CG8233	FBgn0033897	Rcd1
CG8235	FBgn0033351	AIMP1
CG8237	FBgn0033350	CG8237
CG8239	FBgn0030683	Mvd
CG8243	FBgn0033349	CG8243
CG8257	FBgn0033900	CysRS-m
CG8258	FBgn0284436	CCT8
CG8270	FBgn0035703	CG8270
CG8290	FBgn0026573	ADD1
CG8297	FBgn0034050	bug
CG8300	FBgn0029937	CG8300
CG8303	FBgn0034143	CG8303
CG8306	FBgn0034142	CG8306
CG8315	FBgn0034058	Pex11
CG8320-RA	FBtr0087202	CG8320-RA
CG8331	FBgn0033906	ReepB
CG8334	FBgn0036913	Usp32
CG8336	FBgn0036020	CG8336
CG8368	FBgn0286051	Rexo5
CG8369	FBgn0040532	CG8369
CG8370	FBgn0034060	Tmem131
CG8379	FBgn0037638	CG8379
CG8386	FBgn0034061	Ufc1
CG8397	FBgn0034066	EMC7
CG8399	FBgn0034067	CG8399
CG8405	FBgn0034071	CG8405
CG8414	FBgn0034073	CG8414
CG8417	FBgn0286506	Mpi
CG8436	FBgn0037670	Ibf1
CG8441	FBgn0034086	CG8441
CG8443	FBgn0034087	clu
CG8444	FBgn0037671	ATP6AP2
CG8446	FBgn0265177	CG44242
CG8446	FBgn0265178	CG44243
CG8446	FBgn0262026	CG42837
CG8446	FBgn0265177	CG44242
CG8446	FBgn0265178	CG44243
CG8446	FBgn0262026	CG42837
CG8449	FBgn0038129	TBC1D5
CG8451	FBgn0031998	SLC5A11
CG8460-RA	FBtr0079586	CG8460-RA
CG8475	FBgn0031995	CG8475
CG8475	FBgn0083970	CG34134
CG8486	FBgn0264953	Piezo
CG8490	FBgn0033715	CG8490
CG8493	FBgn0033716	Den1
CG8494	FBgn0033916	Usp20-33
CG8498	FBgn0031992	Acbp1
CG8503	FBgn0033917	SmydA-1
CG8507	FBgn0037756	CG8507
CG8520	FBgn0033734	CG8520
CG8525	FBgn0033735	Dera
CG8531	FBgn0033918	CG8531
CG8538	FBgn0038223	Afti
CG8539	FBgn0035791	CG8539
CG8545	FBgn0033741	CG8545
CG8549	FBgn0035714	CG8549
CG8552	FBgn0031990	PAPLA1
CG8557	FBgn0263706	CG43658
CG8569	FBgn0033752	CG8569
CG8578	FBgn0030699	CG8578
CG8594	FBgn0033755	ClC-b
CG8600	FBgn0264302	CG43780
CG8600	FBgn0264303	CG43781
CG8602	FBgn0035763	mrva
CG8605	FBgn0035762	Rint1
CG8607	FBgn0035760	CG8607
CG8611	FBgn0027602	CG8611
CG8613	FBgn0033924	CG8613
CG8632	FBgn0033762	ZnT49B
CG8635	FBgn0033317	CG8635
CG8668	FBgn0031988	CG8668
CG8671	FBgn0032938	CG8671
CG8675	FBgn0030834	CG8675
CG8679	FBgn0032934	CG8679
CG8680	FBgn0031684	ND-13A
CG8683	FBgn0031985	mon2
CG8707	FBgn0033272	RagC-D
CG8709	FBgn0263593	Lpin
CG8709	FBgn0263593	Lpin
CG8728-RA	FBtr0088882	CG8728-RA
CG8735	FBgn0033309	Lnpk
CG8743	FBgn0262516	Trpml
CG8768	FBgn0033769	CG8768
CG8771	FBgn0033766	Nup188
CG8775	FBgn0052473	CG32473
CG8777	FBgn0033376	CG8777
CG8778	FBgn0033761	CG8778
CG8783	FBgn0036397	Nprl3
CG8788	FBgn0028955	CG8788
CG8793	FBgn0260655	l(3)76BDm
CG8798	FBgn0036892	Lon
CG8801	FBgn0028473	Non1
CG8814	FBgn0031478	CG8814
CG8830	FBgn0033738	DUBAI
CG8831	FBgn0033737	Nup54
CG8839	FBgn0033717	CG8839
CG8841	FBgn0033713	CG8841
CG8858	FBgn0033698	CG8858
CG8866	FBgn0037679	Aduk
CG8885	FBgn0262467	Scox
CG8891	FBgn0031663	CG8891
CG8892	FBgn0031664	CG8892
CG8920	FBgn0027529	tapas
CG8924	FBgn0030710	CG8924
CG8929	FBgn0034504	CG8929
CG8931	FBgn0030717	Slc25A46a
CG8939	FBgn0030720	CG8939
CG8963	FBgn0034181	CG8963
CG8974	FBgn0030693	CG8974
CG8979	FBgn0033669	PI31
CG8993	FBgn0035334	CG8993
CG9000	FBgn0034176	ste24a
CG9004	FBgn0035336	CG9004
CG9007	FBgn0036398	upSET
CG9008	FBgn0028540	CG9008
CG9018	FBgn0035318	CG9018
CG9027	FBgn0033631	Sod3
CG9034	FBgn0040931	CG9034
CG9044	FBgn0031752	CG9044
CG9053	FBgn0264389	opm
CG9062	FBgn0033607	CG9062
CG9063	FBgn0028500	Rich
CG9065	FBgn0030610	CG9065
CG9066	FBgn0030703	MSBP
CG9068	FBgn0034106	CG9068
CG9098	FBgn0031762	CG9098
CG9099	FBgn0030802	DENR
CG9104	FBgn0030800	Nprl2
CG9107	FBgn0031764	CG9107
CG9112	FBgn0031673	CG31650
CG9114	FBgn0030628	CG9114
CG9125	FBgn0030793	Rai1
CG9132	FBgn0030791	CG9132
CG9135	FBgn0031769	CG9135
CG9139	FBgn0262937	Rabex-5
CG9140	FBgn0031771	ND-51
CG9143	FBgn0034496	CG9143
CG9144	FBgn0031773	Fbw5
CG9147	FBgn0031774	CG9147
CG9149	FBgn0035203	CG9149
CG9153	FBgn0035207	Herc4
CG9154	FBgn0031777	CG9154
CG9172	FBgn0030718	ND-20
CG9175	FBgn0031779	CG9175
CG9186	FBgn0035206	sturkopf
CG9203	FBgn0267977	mh
CG9205	FBgn0035181	CG9205
CG9213	FBgn0030655	CG9213
CG9226	FBgn0031782	WDR79
CG9231	FBgn0036887	CG9231
CG9238	FBgn0036428	Gbs-70E
CG9243	FBgn0263051	CG43346
CG9243	FBgn0263050	CG43345
CG9246	FBgn0032925	CG9246
CG9247	FBgn0032924	Nbr
CG9248	FBgn0032923	Pld3
CG9249	FBgn0032922	Coq3
CG9253	FBgn0032919	CG9253
CG9257	FBgn0032916	CG9257
CG9265	FBgn0032910	CG9265
CG9267	FBgn0032524	Hacd2
CG9268	FBgn0262517	Ltn1
CG9272	FBgn0032907	CG9272
CG9279	FBgn0036882	CG9279
CG9281	FBgn0030672	CG9281
CG9286	FBgn0038183	CG9286
CG9288	FBgn0260464	CG9288
CG9288	FBgn0259721	CG42375
CG9293	FBgn0032516	Ing5
CG9298	FBgn0260861	Trs23
CG9300	FBgn0036886	CG9300
CG9302	FBgn0032514	CG9302
CG9306	FBgn0032511	ND-B22
CG9311	FBgn0036448	mop
CG9318	FBgn0032880	TM9SF2
CG9319	FBgn0032881	Amacr
CG9320	FBgn0032882	Ns4
CG9323	FBgn0032883	Rhau
CG9328	FBgn0032886	CG9328
CG9330	FBgn0036888	CG9330
CG9331	FBgn0032889	CG9331
CG9338	FBgn0032899	CG9338
CG9344	FBgn0034564	CG9344
CG9350	FBgn0034576	ND-B14.7
CG9356	FBgn0037688	CG9356
CG9362	FBgn0037696	GstZ1
CG9376	FBgn0036893	PIG-F
CG9389	FBgn0037064	CG9389
CG9391	FBgn0037063	CG9391
CG9393	FBgn0037710	CG9393
CG9399	FBgn0037715	CG9399
CG9422-RC	FBtr0086121	Rpp25-RC
CG9425	FBgn0036451	Helz
CG9426	FBgn0032485	CG9426
CG9436	FBgn0033101	CG9436
CG9449	FBgn0036875	CG9449
CG9465	FBgn0032067	LManIV
CG9471	FBgn0037749	CG9471
CG9485	FBgn0034618	CG9485
CG9515	FBgn0032077	CG9515
CG9520	FBgn0032078	C1GalTA
CG9526	FBgn0031815	frj
CG9527	FBgn0031813	CG9527
CG9531	FBgn0031817	HemK1
CG9536	FBgn0031818	CG9536
CG9547	FBgn0031824	CG9547
CG9548	FBgn0031822	Phf5a
CG9573	FBgn0032089	Rcd-1r
CG9577	FBgn0031092	CG9577
CG9578	FBgn0031094	CG9578
CG9581	FBgn0031093	CG9581
CG9586	FBgn0032101	CG9586
CG9588	FBgn0038166	CG9588
CG9589	FBgn0038361	Uros2
CG9590	FBgn0038360	CG9590
CG9596	FBgn0031832	CG9596
CG9601	FBgn0037578	CG9601
CG9603	FBgn0040529	COX7A
CG9617	FBgn0265101	Sgt1
CG9630	FBgn0037561	CG9630
CG9634	FBgn0027528	goe
CG9643	FBgn0031485	CG9643
CG9662	FBgn0031529	CG9662
CG9666	FBgn0036856	CG9666
CG9667	FBgn0037550	CG9667
CG9674	FBgn0036663	CG9674
CG9684	FBgn0037583	CG9684
CG9691	FBgn0030160	CG9691
CG9705	FBgn0036661	CG9705
CG9706	FBgn0036662	CG9706
CG9715	FBgn0036668	Zcchc7
CG9746	FBgn0260935	Vps15
CG9747	FBgn0039754	CG9747
CG9752	FBgn0034614	CG9752
CG9754	FBgn0034617	Panx
CG9772	FBgn0037236	Skp2
CG9773	FBgn0037609	CG9773
CG9775	FBgn0037261	CG9775
CG9779	FBgn0037231	Vps24
CG9784	FBgn0030761	CG9784
CG9791	FBgn0037232	Suv3
CG9796	FBgn0038149	GILT1
CG9797	FBgn0037621	M1BP
CG9798	FBgn0051523	CG31523
CG9798	FBgn0051522	CG31522
CG9799	FBgn0038146	CG9799
CG9836	FBgn0037637	IscU
CG9850	FBgn0034903	sona
CG9853	FBgn0086605	CG9853
CG9855	FBgn0037242	CG9855
CG9890	FBgn0034814	CG9890
CG9894	FBgn0031453	Bacc
CG9911	FBgn0030734	CG9911
CG9914	FBgn0286508	Had1
CG9915	FBgn0030738	CG9915
CG9917	FBgn0030740	CG9917
CG9921	FBgn0030743	CG9921
CG9922	FBgn0038196	CG9922
CG9928	FBgn0032472	CG9928
CG9934	FBgn0032467	CG9934
CG9940	FBgn0030512	Nadsyn
CG9945	FBgn0034527	CG9945
CG9953	FBgn0035726	CG9953
CG9977	FBgn0035371	AhcyL1
CG9986	FBgn0039589	CG9986
CG9987	FBgn0032781	RtcB
CG9990	FBgn0039594	snu
CG9992	FBgn0030744	CG9992
chb	FBgn0021760	chb
Chc	FBgn0000319	Chc
Chd1	FBgn0250786	Chd1
Chd3	FBgn0023395	Chd3
Chd64	FBgn0035499	Chd64
cher	FBgn0014141	cher
Chi	FBgn0013764	Chi
Chi	FBgn0000308	chic
chic	FBgn0000308	chic
chic	FBgn0024248	chico
chico	FBgn0024248	chico
chif	FBgn0000307	chif
CHIP	FBgn0013764	Chi
CHIP	FBgn0027052	STUB1
Chit	FBgn0013763	Idgf6
Chmp1	FBgn0036805	Chmp1
CHOp24	FBgn0029709	CHOp24
CHORD	FBgn0029503	mora
Chrac-14	FBgn0043002	Chrac-14
Chrac-16	FBgn0043001	Chrac-16
Chro	FBgn0044324	Chro
chrw	FBgn0015372	RabX1
Cht11	FBgn0029913	Cht11
Cht2	FBgn0022702	Cht2
Ciao1	FBgn0033972	Ciao1
cib	FBgn0026084	cib
cic	FBgn0262582	cic
cin	FBgn0000316	cin
Cip4	FBgn0035533	Cip4
ck	FBgn0000317	ck
ck	FBgn0002466	sti
Cka	FBgn0044323	Cka
CkIalpha	FBgn0015024	CkIalpha
CkIIalpha	FBgn0264492	CkIIalpha
CkIIalpha	FBgn0264492	CkIIalpha
CkIIbeta	FBgn0000259	CkIIbeta
Cks30A	FBgn0010314	Cks30A
Cks85A	FBgn0037613	Cks85A
cl	FBgn0000318	cl
Clbn	FBgn0259152	Clbn
Clc	FBgn0024814	Clc
Clic	FBgn0030529	Clic
CLIP-190	FBgn0020503	CLIP-190
Clp	FBgn0015621	Clp
Clp	FBtp0039571	P{Csp[Clp]}
clt	FBgn0000326	clt
clt	FBal0001714	clt[1]
cm	FBgn0000330	cm
cm	FBgn0000335	cmp
cm	FBal0180464	cm[unspecified]
cmet	FBgn0040232	cmet
cni	FBgn0000339	cni
cnn	FBgn0013765	cnn
cnn	FBgn0013765	cnn
cno	FBgn0259212	cno
Cnx99A	FBgn0015622	Cnx99A
Cog3	FBgn0031536	Cog3
Cog7	FBgn0051040	Cog7
coilin	FBgn0033265	coil
colt	FBgn0019830	colt
comt	FBgn0000346	comt
Cont	FBgn0037240	Cont
Coprox	FBgn0021944	Coprox
coq5	unknown ID	-
COQ7	FBgn0029502	Coq7
Coq9	FBgn0050493	Coq9
cora	FBgn0010434	cora
CoRest	FBgn0261573	CoRest
CoRest	FBgn0261573	CoRest
coro	FBgn0265935	coro
cort	FBgn0000351	cort
Cortactin	FBgn0025865	Cortactin
CoVa	FBgn0019624	COX5A
Cp1	FBgn0013770	Cp1
Cp190	FBgn0000283	Cp190
cp309	FBgn0086690	Plp
cpa	FBgn0034577	cpa
cpb	FBgn0011570	cpb
cpo	FBgn0263995	cpo
Cpr	FBgn0015623	Cpr
Cpr66D	FBgn0052029	Cpr66D
cpsf	FBgn0024698	Cpsf160
CPTI	FBgn0261862	whd
CPTI	FBgn0000364	Cpt
Crag	FBgn0025864	Crag
crb	FBgn0259685	crb
Crc	FBgn0000370	crc
Crc	FBgn0005585	Calr
CREG	FBgn0025456	CREG
Crk	FBgn0024811	Crk
crl	FBgn0267407	crl
crl	FBgn0267384	Ubc7
crm	FBgn0000376	crm
crm	FBal0001828	crm[1]
crn	FBgn0000377	crn
crol	FBgn0020309	crol
crp	FBgn0001994	crp
crq	FBgn0015924	crq
Csat	FBgn0024994	Ugalt
Csl4	FBgn0032346	Csl4
CSN1b	FBgn0027057	CSN1b
CSN3	FBgn0027055	CSN3
CSN4	FBgn0027054	CSN4
CSN5	FBgn0027053	CSN5
CSN6	FBgn0028837	CSN6
CSN7	FBgn0028836	CSN7
CSN8	FBgn0261437	CSN8
CstF-50	FBgn0039867	CstF50
CstF-64	FBgn0027841	CstF64
csul	FBgn0015925	csul
csw	FBgn0000382	csw
cta	FBgn0000384	cta
CtBP	FBgn0020496	CtBP
CtBP	FBgn0020496	CtBP
CtBP	FBgn0020496	CtBP
ctp	FBgn0011760	ctp
cue	FBgn0011204	cue
cul-2	FBgn0032956	Cul2
cul-4	FBgn0033260	Cul4
cul-5	FBgn0039632	Cul5
cup	FBgn0000392	cup
cup	FBgn0051858	t-cup
cutlet	FBgn0015376	cutlet
CycA	FBgn0000404	CycA
CycB	FBgn0000405	CycB
CycB3	FBgn0015625	CycB3
CycC	FBgn0004597	CycC
CycE	FBgn0010382	CycE
CycH	FBgn0022936	CycH
CycK	FBgn0025674	CycK
CycT	FBgn0025455	CycT
Cyp1	FBgn0004432	Cyp1
Cyp12d1-p	FBgn0050489	Cyp12d1-p
Cyp18a1	FBgn0010383	Cyp18a1
Cyp305a1	FBgn0036910	Cyp305a1
cyp33	FBgn0028382	cyp33
Cyp4e3	FBgn0015035	Cyp4e3
Cyp4g1	FBgn0010019	Cyp4g1
Cyp4s3	FBgn0030615	Cyp4s3
Cyp6a13	FBgn0033304	Cyp6a13
Cyp6a19	FBgn0033979	Cyp6a19
Cyp6a22	FBgn0013773	Cyp6a22
Cyp6a23	FBgn0033978	Cyp6a23
Cypl	FBgn0035141	Cypl
Cys	FBgn0004629	Cys
Cys	FBgn0004179	Csp
Cyt-b5	FBgn0264294	Cyt-b5
Cyt-b5	FBgn0000406	Cyt-b5-r
Cyt-c-d	FBgn0086907	Cyt-c-d
Cyt-c-p	FBgn0284248	Cyt-c-p
D1	FBgn0000412	D1
D1	FBab0026852	Df(3L)HnD-1
D1	FBgn0000463	Dl
D1	FBgn0020608	anon-12Db
D1	FBgn0025009	E(tkv)D1
D1	FBgn0001149	GstD1
D1	FBgn0001977	CIAPIN1
D1	FBal0012578	mul[3]
D1	FBal0012636	mus301[D1]
D1	FBal0015270	Scm[D1]
D1	FBal0017847	vas[3]
D1	FBal0090703	E(tkv)D1[D1]
D1	FBal0097226	Mhc[D1]
D1	FBal0102527	eRF1[D1]
D1	FBal0119483	Gad1[E143K]
D1	FBal0190368	Desat1[1573-D1]
D1	FBtp0093204	P{eve-lacZ.D1}
D1	FBgn0000412	D1
D1	FBab0026852	Df(3L)HnD-1
D1	FBgn0000463	Dl
D1	FBgn0020608	anon-12Db
D1	FBgn0025009	E(tkv)D1
D1	FBgn0001149	GstD1
D1	FBgn0001977	CIAPIN1
D1	FBal0012578	mul[3]
D1	FBal0012636	mus301[D1]
D1	FBal0015270	Scm[D1]
D1	FBal0017847	vas[3]
D1	FBal0090703	E(tkv)D1[D1]
D1	FBal0097226	Mhc[D1]
D1	FBal0102527	eRF1[D1]
D1	FBal0119483	Gad1[E143K]
D1	FBal0190368	Desat1[1573-D1]
D1	FBtp0093204	P{eve-lacZ.D1}
Dak1	FBgn0028833	Cmpk
Dak1	FBgn0022709	Ak1
Dap160	FBgn0023388	Dap160
dare	FBgn0015582	dare
dbe	FBgn0020305	dbe
dbeta3GalTII	FBgn0033315	beta3GalTII
Dbp45A	FBgn0010220	Dbp45A
Dbp73D	FBgn0004556	Dbp73D
Dbp80	FBgn0024804	Dbp80
dco	FBgn0002413	dco
dco	FBgn0000273	Pka-C1
Dcp1	FBgn0013770	Cp1
Dcp1	FBgn0034921	DCP1
Dcp1	FBgn0010501	Dcp-1
Dcp-1	FBgn0010501	Dcp-1
Dcp-1	FBgn0013770	Cp1
Dcp-1	FBgn0034921	DCP1
Dcr-1	FBgn0039016	Dcr-1
Dcr-2	FBgn0034246	Dcr-2
Dcr-2	FBtp0036672	P{UAS-Dcr-2.D}
DDB1	FBgn0260962	pic
Ddx1	FBgn0015075	Ddx1
DebB	FBgn0000426	SmF
defl	FBgn0036038	defl
Dek	FBgn0026533	Dek
Dek	FBgn0025936	Eph
deltaCOP	FBgn0028969	deltaCOP
desat1	FBgn0086687	Desat1
det	FBgn0264291	Det
det	FBgn0260003	Dys
Det	FBgn0264291	Det
Df31	FBgn0022893	Df31
Dg	FBgn0034072	Dg
Dgp-1	FBgn0027836	Dgp-1
dgt1	FBgn0039710	dgt1
dgt2	FBgn0032390	dgt2
dgt3	FBgn0034569	dgt3
dgt4	FBgn0026085	dgt4
dgt5	FBgn0033740	dgt5
dgt6	FBgn0039638	dgt6
Dhap-at	FBgn0040212	Dhap-at
Dhc64C	FBgn0261797	Dhc64C
dhd	FBgn0011761	dhd
Dhfr	FBgn0004087	Dhfr
Dhfr	FBgn0004087	Dhfr
Dhh1	FBgn0011802	Gem3
Dhod	FBgn0000447	Dhod
Dhpr	FBgn0035964	Dhpr
dia	FBgn0011202	dia
didum	FBgn0261397	didum
Dim1	FBgn0031601	Dim1
Dim1	FBgn0039627	CG11837
